,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
0,Aki Corp.,161964,Generally favorable reviews,14,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,97
1,Opus,160856,Mixed or average reviews,6,"Action, Fighting, 3D",,Crave,https://www.metacritic.com/company/crave,T,Mixed or average reviews,19
2,Capcom,160749,Generally favorable reviews,17,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,32
3,Natsume,160922,Mixed or average reviews,4,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,T,Mixed or average reviews,10
4,Namco,101153,Generally favorable reviews,25,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,181
5,Team Ninja,100468,Universal acclaim,20,"Action, Fighting, 3D",,Tecmo,https://www.metacritic.com/company/tecmo,T,Generally favorable reviews,70
6,Arika,100964,Mixed or average reviews,17,"Action, Fighting, 3D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,34
7,Capcom,161941,Generally favorable reviews,15,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,66
8,Anchor (Legacy),160785,Generally favorable reviews,24,"Action, Fighting, 3D",,Crave,https://www.metacritic.com/company/crave,T,Mixed or average reviews,16
9,Capcom,160727,Generally favorable reviews,19,"Action, Fighting, 3D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,62
10,Acclaim,161937,Generally unfavorable reviews,7,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,E,Mixed or average reviews,6
11,Yuke's,161955,Mixed or average reviews,23,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,11
12,Opus,160666,Mixed or average reviews,13,"Action, Fighting, 3D",,SouthPeak Games,https://www.metacritic.com/company/southpeak-games,T,Mixed or average reviews,12
13,Paradox Development,160797,Generally favorable reviews,18,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,22
14,Capcom,161988,Universal acclaim,22,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,101
15,Capcom,160760,Generally favorable reviews,19,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,22
16,Namco,160751,Universal acclaim,24,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,418
17,Capcom,160759,Universal acclaim,12,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,108
18,HAL Labs,160767,Generally favorable reviews,11,"Action, Fighting, 3D",,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,496
19,Namco,160770,Universal acclaim,15,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Universal acclaim,860
20,Team Ninja,160652,Generally favorable reviews,10,"Action, Fighting, 3D",,Tecmo,https://www.metacritic.com/company/tecmo,T,Generally favorable reviews,37
21,Light Weight,160637,Generally favorable reviews,13,"Action, Fighting, 3D",,SCEA,https://www.metacritic.com/company/scea,T,Generally favorable reviews,35
22,Namco,160769,Generally favorable reviews,8,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,209
23,Tamsoft,163184,Mixed or average reviews,4,"Action, Fighting, 3D",,SCEA,https://www.metacritic.com/company/scea,T,Generally favorable reviews,42
24,Webfoot Technologies,162179,Generally unfavorable reviews,23,"Action, Fighting, 2D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,30
25,Digital Eclipse,162278,Generally unfavorable reviews,13,"Action, Fighting, Wrestling",,Ubisoft,https://www.metacritic.com/company/ubisoft,E,Generally unfavorable reviews,12
26,Eighting,103159,Mixed or average reviews,25,"Action, Fighting, 3D",,Hudson,https://www.metacritic.com/company/hudson,M,Generally favorable reviews,51
27,Pyramid,162094,Mixed or average reviews,16,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,26
28,Yuke's,102820,Generally favorable reviews,27,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,250
29,Big Ape Productions,161863,Generally unfavorable reviews,17,"Action, Fighting, 3D",,Gotham Games,https://www.metacritic.com/company/gotham-games,M,Generally unfavorable reviews,14
30,Hitmaker,102478,Mixed or average reviews,14,"Action, Fighting, 3D",,Sega,https://www.metacritic.com/company/sega,T,No user score yet,
31,Big Ape Productions,102307,Generally unfavorable reviews,17,"Action, Fighting, 3D",,Gotham Games,https://www.metacritic.com/company/gotham-games,M,Generally unfavorable reviews,25
32,Big Ape Productions,103103,Generally unfavorable reviews,7,"Action, Fighting, Fighting, 3D, 3D",,Gotham Games,https://www.metacritic.com/company/gotham-games,M,Mixed or average reviews,22
33,Paradox Development,161905,Mixed or average reviews,15,"Action, Fighting, Wrestling",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,M,Generally unfavorable reviews,8
34,Paradox Development,102744,Mixed or average reviews,24,"Action, Fighting, Wrestling",,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,M,Generally favorable reviews,33
35,Dimps Corporation,162202,Mixed or average reviews,5,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,E,Mixed or average reviews,4
36,Anchor (Legacy),161533,Mixed or average reviews,26,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,31
37,Yuke's,161918,Generally favorable reviews,26,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,52
38,Namco,163337,Universal acclaim,45,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,208
39,Namco,163338,Universal acclaim,39,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,69
40,Criterion Games,162122,Generally favorable reviews,14,"Action, Fighting, 2D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,11
41,Namco,101571,Universal acclaim,41,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,185
42,Sega,102558,Universal acclaim,30,"Action, Fighting, 3D",,Sega,https://www.metacritic.com/company/sega,T,Generally favorable reviews,67
43,Bandai,161913,Mixed or average reviews,11,"Action, Fighting, Wrestling",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,7
44,Aki Corp.,161671,Generally favorable reviews,21,"Action, Fighting, Wrestling",,Bandai,https://www.metacritic.com/company/bandai,T,Mixed or average reviews,4
45,Eighting/Raizing,163198,Mixed or average reviews,22,"Action, Fighting, 3D",,Konami,https://www.metacritic.com/company/konami,T,Generally favorable reviews,10
46,Gameness Art Software,161720,Generally unfavorable reviews,8,"Action, Fighting, 3D",,Metro3D,https://www.metacritic.com/company/metro3d,T,Generally unfavorable reviews,9
47,"Pipeworks Software, Inc.",161848,Mixed or average reviews,20,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,9
48,Dimps Corporation,161758,Mixed or average reviews,5,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,81
49,Aki Corp.,102506,Generally favorable reviews,33,"Action, Fighting, Wrestling",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,T,Generally favorable reviews,57
50,Aki Corp.,161707,Generally favorable reviews,22,"Action, Fighting, Wrestling",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,13
51,Capcom,161563,Mixed or average reviews,19,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,27
52,Bandai,161789,Generally unfavorable reviews,9,"Action, Fighting, 2D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,69
53,DreamFactory,161630,Mixed or average reviews,14,"Action, Fighting, 3D",,TDK Mediactive,https://www.metacritic.com/company/tdk-mediactive,T,Mixed or average reviews,4
54,Studio Gigante,161597,Mixed or average reviews,32,"Action, Fighting, 3D",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,M,Mixed or average reviews,9
55,Just Add Monsters,161402,Mixed or average reviews,41,"Action, Fighting, 3D",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Generally favorable reviews,28
56,Anchor (Legacy),101969,Mixed or average reviews,19,"Action, Fighting, 3D",,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,7
57,Capcom,161668,Generally favorable reviews,26,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,18
58,Arc System Works,102469,Generally favorable reviews,31,"Action, Fighting, 2D",,Sammy Studios,https://www.metacritic.com/company/sammy-studios,T,Generally favorable reviews,47
59,Incognito Inc.,102333,Generally favorable reviews,41,"Action, Fighting, 3D",,SCEA,https://www.metacritic.com/company/scea,T,Generally favorable reviews,84
60,Acclaim,161602,Mixed or average reviews,14,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,No user score yet,
61,Dimps Corporation,102520,Mixed or average reviews,28,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Generally favorable reviews,101
62,Crawfish Interactive,161109,Generally favorable reviews,17,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,24
63,Acclaim,161619,Mixed or average reviews,14,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,No user score yet,
64,Acclaim,102395,Mixed or average reviews,15,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,7
65,Powerhead Games,161748,Generally unfavorable reviews,11,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,E,Generally unfavorable reviews,10
66,Criterion Games,161351,Generally favorable reviews,12,"Action, Fighting, 2D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,17
67,Midway,161349,Generally favorable reviews,27,"Action, Fighting, 3D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,27
68,Capcom,102315,Generally favorable reviews,19,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,79
69,VIS Entertainment,101829,Mixed or average reviews,4,"Action, Fighting, 3D",,NewKidCo,https://www.metacritic.com/company/newkidco,T,Generally favorable reviews,24
70,Midway,161350,Generally favorable reviews,20,"Action, Fighting, 3D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,46
71,Midway,102072,Generally favorable reviews,31,"Action, Fighting, 3D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,125
72,Enterbrain,102381,Mixed or average reviews,11,"Action, Fighting, 3D",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,Generally favorable reviews,5
73,DreamFactory,161038,Generally unfavorable reviews,26,"Action, Fighting, 3D",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Mixed or average reviews,18
74,Yuke's,102250,Generally favorable reviews,27,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,88
75,Natsume,161566,Mixed or average reviews,10,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,E,Generally favorable reviews,7
76,Exakt,161314,Mixed or average reviews,17,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,9
77,Paradox Development,161315,Mixed or average reviews,12,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,No user score yet,
78,Paradox Development,102033,Mixed or average reviews,19,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,13
79,"Anchor (Legacy), Microvision",102433,Mixed or average reviews,6,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,83
80,TOSE,161750,Mixed or average reviews,7,"Action, Fighting, 2D",,TDK Mediactive,https://www.metacritic.com/company/tdk-mediactive,E,Generally favorable reviews,9
81,"Pipeworks Software, Inc.",161424,Mixed or average reviews,30,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,32
82,Metro3D,161480,Mixed or average reviews,9,"Action, Fighting, 2D",,Metro3D,https://www.metacritic.com/company/metro3d,M,No user score yet,
83,Namco,101732,Generally favorable reviews,23,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,207
84,Spike,161391,Mixed or average reviews,7,"Action, Fighting, Wrestling",,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Generally favorable reviews,8
85,Capcom,161395,Mixed or average reviews,20,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,28
86,Arc System Works,161204,Mixed or average reviews,14,"Action, Fighting, 2D",,Sammy Studios,https://www.metacritic.com/company/sammy-studios,T,Mixed or average reviews,11
87,Klein Computer Entertainment,161319,Mixed or average reviews,10,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,31
88,Crave,161381,Mixed or average reviews,8,"Action, Fighting, 3D",,Crave,https://www.metacritic.com/company/crave,T,No user score yet,
89,Natsume,161731,Generally favorable reviews,4,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,22
90,Saffire,101851,Mixed or average reviews,22,"Action, Fighting, 3D",,Titus Software,https://www.metacritic.com/company/titus-software,T,No user score yet,
91,Imagineer,162252,Mixed or average reviews,4,"Action, Fighting, 2D",,Natsume,https://www.metacritic.com/company/natsume,E,Generally favorable reviews,27
92,Yuke's,161039,Mixed or average reviews,25,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,22
93,Opus,101690,Mixed or average reviews,19,"Action, Fighting, 3D",,Crave,https://www.metacritic.com/company/crave,T,Generally favorable reviews,8
94,Acclaim,161439,Mixed or average reviews,10,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,4
95,Acclaim,161265,Mixed or average reviews,18,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Mixed or average reviews,4
96,Eighting/Raizing,161249,Generally favorable reviews,27,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,26
97,Sega AM2,101519,Universal acclaim,36,"Action, Fighting, 3D",,Sega,https://www.metacritic.com/company/sega,T,Generally favorable reviews,102
98,Bandai,161724,Mixed or average reviews,5,"Action, Fighting, 2D",,Bandai,https://www.metacritic.com/company/bandai,E,Generally favorable reviews,90
99,DreamFactory,161057,Mixed or average reviews,20,"Action, Fighting, 3D",,Crave,https://www.metacritic.com/company/crave,T,No user score yet,
100,Anchor (Legacy),160971,Mixed or average reviews,33,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,18
101,Eighting/Raizing,161183,Generally favorable reviews,14,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,27
102,Virtucraft,161281,Generally unfavorable reviews,16,"Action, Fighting, 2D",,Midway,https://www.metacritic.com/company/midway,M,Generally unfavorable reviews,12
103,Acclaim,101701,Mixed or average reviews,24,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,T,Generally favorable reviews,16
104,HAL Labs,161102,Universal acclaim,38,"Action, Fighting, 3D",,Nintendo,https://www.metacritic.com/company/nintendo,T,Universal acclaim,1007
105,SNK,161036,Generally favorable reviews,6,"Action, Fighting, 2D",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,Generally favorable reviews,23
106,Light Weight,161191,Generally unfavorable reviews,15,"Action, Fighting, 2D",,Crave,https://www.metacritic.com/company/crave,M,Generally unfavorable reviews,12
107,Natsume,161093,Mixed or average reviews,7,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,E,No user score yet,
108,Yuke's,101557,Generally favorable reviews,24,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,56
109,Team Ninja,161041,Generally favorable reviews,35,"Action, Fighting, 3D",,Tecmo,https://www.metacritic.com/company/tecmo,T,Generally favorable reviews,71
110,Capcom,101699,Generally favorable reviews,22,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,46
111,Capcom,161029,Generally favorable reviews,17,"Action, Fighting, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Mixed or average reviews,25
112,Arc System Works,101750,Generally favorable reviews,15,"Action, Fighting, 2D",,Sammy Studios,https://www.metacritic.com/company/sammy-studios,T,Generally favorable reviews,22
113,Paradox Development,161064,Mixed or average reviews,12,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,31
114,SNK,161158,Generally favorable reviews,7,"Action, Fighting, 2D",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,Generally favorable reviews,15
115,Eighting/Raizing,101460,Mixed or average reviews,20,"Action, Fighting, 3D",,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,41
116,Spike,161011,Generally favorable reviews,10,"Action, Fighting, Wrestling",,Bam Entertainment,https://www.metacritic.com/company/bam-entertainment,T,Generally favorable reviews,5
117,Capcom,160917,Generally favorable reviews,10,"Action, Fighting, 3D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,46
118,SNK,163330,Mixed or average reviews,4,"Action, Fighting, 2D",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,Generally favorable reviews,27
119,Big Ape Productions,161984,Generally unfavorable reviews,15,"Action, Fighting, Wrestling",,Activision,https://www.metacritic.com/company/activision,T,Mixed or average reviews,35
120,Light Weight,101162,Mixed or average reviews,13,"Action, Fighting, 3D",,Crave,https://www.metacritic.com/company/crave,M,Generally favorable reviews,10
121,Acclaim Studios Salt Lake City,163132,Generally unfavorable reviews,8,"Action, Fighting, Wrestling",,Acclaim,https://www.metacritic.com/company/acclaim,M,Mixed or average reviews,8
122,Kodiak Interactive,160881,Generally unfavorable reviews,4,"Action, Fighting, Wrestling",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,9
123,Yuke's,161963,Universal acclaim,15,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,76
124,Yuke's,108043,Generally favorable reviews,13,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,32
125,Gastronaut Studios,108634,Mixed or average reviews,22,"Action, Fighting, Fighting, 2D, 2D",4 Players Online,Gastronaut Studios,https://www.metacritic.com/company/gastronaut-studios,E10+,Mixed or average reviews,23
126,Spike,108229,Mixed or average reviews,37,"Action, Fighting, Fighting, 3D, 3D",No Online Multiplayer,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,50
127,Yuke's,108041,Generally favorable reviews,27,"Action, Fighting, Wrestling",4 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,89
128,Yuke's,108042,Generally favorable reviews,50,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,64
129,JGI Entertainment,106670,Mixed or average reviews,19,"Action, Fighting, Fighting, 3D, 3D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,49
130,Spike,108167,Mixed or average reviews,31,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Generally favorable reviews,117
131,Digital Eclipse,107923,Mixed or average reviews,18,"Action, Fighting, Fighting, 2D, 2D",4 Players Online,Midway,https://www.metacritic.com/company/midway,M,Mixed or average reviews,23
132,Midway,162986,Generally favorable reviews,23,"Action, Fighting, 3D",8 Players Online,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,19
133,Midway,107748,Generally favorable reviews,43,"Action, Fighting, 3D",8 Players Online,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,176
134,Full Fat,163069,Generally unfavorable reviews,5,"Action, Fighting, 2D",,DSI Games,https://www.metacritic.com/company/dsi-games,E,Generally unfavorable reviews,10
135,8ing/Raizing,162308,Mixed or average reviews,22,"Action, Fighting, 3D",,D3,https://www.metacritic.com/company/d3,T,Generally favorable reviews,47
136,SNK Playmore,105230,Mixed or average reviews,23,"Action, Fighting, 3D",,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,26
137,Mechanic Arms,107299,Generally unfavorable reviews,8,"Action, Fighting, 3D",,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,T,Generally favorable reviews,12
138,h.a.n.d. Inc.,107298,Generally unfavorable reviews,14,"Action, Fighting, 3D",24 Players Online,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,E,No user score yet,
139,h.a.n.d. Inc.,162942,Generally unfavorable reviews,10,"Action, Fighting, 3D",,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,E,Mixed or average reviews,5
140,Arc System Works,106654,Generally favorable reviews,17,"Action, Fighting, Beat-'Em-Up, Fighting, 2D, 2D",,"Majesco Games, Majesco",https://www.metacritic.com/company/majesco-games,T,Mixed or average reviews,10
141,Ganbarion,163080,Mixed or average reviews,11,"Action, Fighting, 3D",,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,T,Generally favorable reviews,10
142,Aki Corp.,107224,Generally favorable reviews,25,"Action, Fighting, Fighting, Wrestling, 3D, Wrestling",No Online Multiplayer,EA Games,https://www.metacritic.com/company/ea-games,M,Generally favorable reviews,34
143,Ganbarion,108540,Mixed or average reviews,17,"Action, Fighting, 3D",,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,T,Generally favorable reviews,15
144,Sensory Sweep,107714,Generally favorable reviews,33,"Action, Fighting, Fighting, 2D, 2D",4 Players Online,Capcom,https://www.metacritic.com/company/capcom,T,Mixed or average reviews,24
145,Halfbrick Studios,162709,Mixed or average reviews,8,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,E,No user score yet,
146,Namco Bandai Games,107866,Generally favorable reviews,54,"Action, Fighting, Fighting, 3D, 3D",,"Namco Bandai Games America, Namco Bandai Games",https://www.metacritic.com/company/namco-bandai-games-america,T,Generally favorable reviews,208
147,Crafts & Meister,108154,Mixed or average reviews,31,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Mixed or average reviews,35
148,CyberConnect2,103391,Generally favorable reviews,34,"Action, Fighting, 3D",,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,T,Generally favorable reviews,58
149,Arc System Works,106655,Mixed or average reviews,25,"Action, Fighting, Fighting, 2D, 2D",No Online Multiplayer,"Majesco Games, Majesco",https://www.metacritic.com/company/majesco-games,T,Mixed or average reviews,12
150,SNK Playmore,163374,Mixed or average reviews,17,"Action, Fighting, 2D",2 Players Online,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,No user score yet,
151,Konami,107090,Mixed or average reviews,54,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,Konami,https://www.metacritic.com/company/konami,M,Mixed or average reviews,36
152,Dimps Corporation,105218,Mixed or average reviews,21,"Action, Fighting, Fighting, 3D, 3D",2 Players No Online Multiplayer,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,37
153,Tomy Corporation,161852,Mixed or average reviews,21,"Action, Fighting, 3D",24 Players Online,D3,https://www.metacritic.com/company/d3,T,Generally favorable reviews,22
154,Capcom,106704,Generally favorable reviews,35,"Action, Fighting, Fighting, 2D, 2D",,Capcom,https://www.metacritic.com/company/capcom,T,Generally favorable reviews,38
155,SNK,162475,Mixed or average reviews,29,"Action, Fighting, 2D",2 Players Online,SNK,https://www.metacritic.com/company/snk,T,No user score yet,
156,Team Ninja,106658,Generally favorable reviews,76,"Action, Fighting, Fighting, 3D, 3D",16 Players Online Up to 16 Players,Tecmo,https://www.metacritic.com/company/tecmo,M,Generally favorable reviews,259
157,Yuke's,107081,Generally favorable reviews,30,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,53
158,Arc System Works,105678,Mixed or average reviews,13,"Action, Fighting, Fighting, 2D, 2D",,"Atari, Atari SA",https://www.metacritic.com/company/atari,E10+,Generally favorable reviews,44
159,Yuke's,106998,Generally favorable reviews,45,"Action, Fighting, Wrestling",4 Players Online,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,136
160,Namco,106136,Generally favorable reviews,57,"Action, Fighting, 3D",,Namco,https://www.metacritic.com/company/namco,T,Generally favorable reviews,163
161,Eighting,105852,Mixed or average reviews,12,"Action, Fighting, 3D",,Bandai,https://www.metacritic.com/company/bandai,T,Generally favorable reviews,13
162,Eighting,162704,Mixed or average reviews,10,"Action, Fighting, 3D",,Bandai,https://www.metacritic.com/company/bandai,T,No user score yet,
163,Spike,106577,Mixed or average reviews,29,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Generally favorable reviews,97
