,id,publisher,publisher_url,rating,developer,multigenre,player,metascore_how,metascore_review,userscore_how,userscore_review
0,160656,Namco,https://www.metacritic.com/company/namco,T,Namco,"Role-Playing, Action RPG",,Mixed or average reviews,9.0,Generally favorable reviews,25.0
1,102891,Activision,https://www.metacritic.com/company/activision,M,Heuristic Park,"Role-Playing, General, General, Western-Style",No Online Multiplayer,Mixed or average reviews,23.0,Generally favorable reviews,17.0
2,101179,Interplay,https://www.metacritic.com/company/interplay,T,BioWare,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",Up to 6 Players,Universal acclaim,30.0,Universal acclaim,1567.0
3,160832,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,E,Kuusou Kagaku,"Role-Playing, Console-style RPG",,Mixed or average reviews,11.0,Generally favorable reviews,12.0
4,160720,Square EA,https://www.metacritic.com/company/square-ea,M,SquareSoft,"Role-Playing, Action RPG",,Generally favorable reviews,14.0,Generally favorable reviews,165.0
5,160786,Enix Corporation,https://www.metacritic.com/company/enix-corporation,T,Tri-Ace,"Role-Playing, Console-style RPG",,Generally favorable reviews,8.0,Generally favorable reviews,80.0
6,160641,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,16.0,Generally favorable reviews,484.0
7,102847,Interplay,https://www.metacritic.com/company/interplay,T,Infogrames,"Role-Playing, General, General, Action RPG",No Online Multiplayer,Mixed or average reviews,19.0,Generally favorable reviews,33.0
8,101160,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, PC-style RPG, General, PC-style RPG, Western-Style",,Generally favorable reviews,29.0,Generally favorable reviews,268.0
9,100487,Blizzard Entertainment,https://www.metacritic.com/company/blizzard-entertainment,M,Blizzard North,"Role-Playing, Action RPG, Action RPG",Up to 8 Players,Generally favorable reviews,34.0,Generally favorable reviews,1698.0
10,160690,SCEA,https://www.metacritic.com/company/scea,T,SCEI,"Role-Playing, Console-style RPG",,Mixed or average reviews,12.0,Generally favorable reviews,387.0
11,102944,Activision,https://www.metacritic.com/company/activision,M,Nihilistic,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Mixed or average reviews,22.0,Generally favorable reviews,153.0
12,161982,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Action RPG",,Universal acclaim,19.0,Universal acclaim,242.0
13,102844,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",,Generally favorable reviews,11.0,Generally favorable reviews,32.0
14,100257,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, General, PC-style RPG, Western-Style",No Online Multiplayer,Universal acclaim,22.0,Universal acclaim,1123.0
15,100261,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Turbine Inc.,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",Massively Multiplayer,Generally favorable reviews,15.0,Generally favorable reviews,26.0
16,100274,Monolith Productions,https://www.metacritic.com/company/monolith-productions,T,Valkyrie Studios,"Role-Playing, General, General",No Online Multiplayer,Mixed or average reviews,20.0,Generally favorable reviews,78.0
17,160667,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Generally favorable reviews,14.0,Generally favorable reviews,52.0
18,160680,SCEA,https://www.metacritic.com/company/scea,E,Game Arts,"Role-Playing, Console-style RPG",,Generally favorable reviews,14.0,Generally favorable reviews,150.0
19,160671,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,24.0,Generally favorable reviews,1208.0
20,160762,Konami,https://www.metacritic.com/company/konami,T,Konami,"Role-Playing, Console-style RPG",,Generally favorable reviews,8.0,Universal acclaim,316.0
21,160755,Enix Corporation,https://www.metacritic.com/company/enix-corporation,E,Tri-Ace,"Role-Playing, Console-style RPG",,Generally favorable reviews,13.0,Generally favorable reviews,73.0
22,160694,Working Designs,https://www.metacritic.com/company/working-designs,T,Game Arts,"Role-Playing, Console-style RPG",,Generally favorable reviews,15.0,Generally favorable reviews,67.0
23,100230,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",Massively Multiplayer,Generally favorable reviews,17.0,Generally favorable reviews,72.0
24,100152,Interplay,https://www.metacritic.com/company/interplay,T,BioWare,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",Online Multiplayer Up to 6 Players,Universal acclaim,16.0,Generally favorable reviews,852.0
25,160635,Square EA,https://www.metacritic.com/company/square-ea,E,SquareSoft,"Role-Playing, Action RPG",,Generally favorable reviews,12.0,Generally favorable reviews,37.0
26,100118,Interplay,https://www.metacritic.com/company/interplay,M,Black Isle Studios,"Role-Playing, First-Person, First-Person, PC-style RPG, Western-Style",No Online Multiplayer,Generally favorable reviews,15.0,Universal acclaim,1640.0
27,160796,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Generally favorable reviews,15.0,Universal acclaim,392.0
28,160719,Square EA,https://www.metacritic.com/company/square-ea,M,SquareSoft,"Role-Playing, General",,Generally favorable reviews,17.0,Generally favorable reviews,197.0
29,160623,Working Designs,https://www.metacritic.com/company/working-designs,T,Matrix Software,"Role-Playing, Action RPG",,Generally favorable reviews,9.0,Generally favorable reviews,98.0
30,100543,Interplay,https://www.metacritic.com/company/interplay,M,Black Isle Studios,"Role-Playing, First-Person, First-Person, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Generally favorable reviews,12.0,Generally favorable reviews,1455.0
31,101060,Electronic Arts,https://www.metacritic.com/company/electronic-arts,M,Origin,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Mixed or average reviews,6.0,Generally favorable reviews,62.0
32,160670,SCEA,https://www.metacritic.com/company/scea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,20.0,Generally favorable reviews,2541.0
33,100002,Blizzard Entertainment,https://www.metacritic.com/company/blizzard-entertainment,M,Blizzard Entertainment,"Role-Playing, Action RPG, Action RPG",Up to 4 Players,Universal acclaim,12.0,Generally favorable reviews,1378.0
34,161601,Infogrames,https://www.metacritic.com/company/infogrames,E,Pronto Games,"Role-Playing, Console-style RPG",,Mixed or average reviews,9.0,Mixed or average reviews,18.0
35,161101,Sega,https://www.metacritic.com/company/sega,T,Sonic Team,"Role-Playing, Massively Multiplayer Online, Sci-Fi",,Generally favorable reviews,31.0,Generally favorable reviews,83.0
36,102172,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Generally favorable reviews,10.0,Mixed or average reviews,7.0
37,101928,Konami,https://www.metacritic.com/company/konami,T,KCET,"Role-Playing, Console-style RPG",,Generally favorable reviews,23.0,Generally favorable reviews,142.0
38,161409,Interplay,https://www.metacritic.com/company/interplay,T,Snowblind Studios,"Role-Playing, Action RPG",,Generally favorable reviews,25.0,Generally favorable reviews,32.0
39,161754,Natsume,https://www.metacritic.com/company/natsume,E,Ancient,"Role-Playing, Console-style RPG",,Generally favorable reviews,11.0,Generally favorable reviews,5.0
40,101659,SCEA,https://www.metacritic.com/company/scea,T,"Media.Vision, Contrail","Role-Playing, Console-style RPG",,Generally favorable reviews,30.0,Generally favorable reviews,60.0
41,101765,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Prokion,"Role-Playing, Console-style RPG",,Mixed or average reviews,21.0,Generally favorable reviews,40.0
42,101744,Enix Corporation,https://www.metacritic.com/company/enix-corporation,T,Game Arts,"Role-Playing, Console-style RPG",,Mixed or average reviews,16.0,Generally favorable reviews,19.0
43,161311,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,E,Pocket Studios,"Role-Playing, Console-style RPG",,Mixed or average reviews,18.0,Mixed or average reviews,12.0
44,102484,Atlus Co.,https://www.metacritic.com/company/atlus-co,E,Matrix Software,"Role-Playing, Action RPG",,Mixed or average reviews,17.0,Mixed or average reviews,5.0
45,102057,THQ,https://www.metacritic.com/company/thq,T,Volition Inc.,"Role-Playing, Action RPG",,Generally favorable reviews,20.0,Generally favorable reviews,27.0
46,101298,cdv Software,https://www.metacritic.com/company/cdv-software,T,Larian Studios Games,"Role-Playing, Action RPG, Action RPG",No Online Multiplayer,Generally favorable reviews,21.0,Generally favorable reviews,222.0
47,102387,Koei,https://www.metacritic.com/company/koei,T,Koei,"Role-Playing, Strategy, Turn-Based, Console-style RPG, Historic",,Generally favorable reviews,14.0,Generally favorable reviews,33.0
48,101705,SquareSoft,https://www.metacritic.com/company/squaresoft,E,SquareSoft,"Role-Playing, Action RPG",,Generally favorable reviews,46.0,Generally favorable reviews,1252.0
49,101552,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Westwood Studios,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi",Massively Multiplayer,Generally favorable reviews,24.0,Mixed or average reviews,16.0
50,102206,"Gravity Corporation, Gravity",https://www.metacritic.com/company/gravity-corporation,T,"Gravity Corporation, Gravity","Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",Massively Multiplayer,Generally favorable reviews,5.0,Generally favorable reviews,133.0
51,102078,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",,Generally favorable reviews,22.0,Generally favorable reviews,193.0
52,102199,Strategy First,https://www.metacritic.com/company/strategy-first,T,Object,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Mixed or average reviews,15.0,Mixed or average reviews,14.0
53,161477,Capcom,https://www.metacritic.com/company/capcom,E,Capcom,"Role-Playing, Action RPG",,Generally favorable reviews,15.0,Mixed or average reviews,43.0
54,100262,"Atari, Infogrames, Atari SA",https://www.metacritic.com/company/atari,T,BioWare,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",Online Multiplayer Up to 64 Players,Universal acclaim,34.0,Generally favorable reviews,671.0
55,161814,Atlus Co.,https://www.metacritic.com/company/atlus-co,E,Red 5 Software,"Role-Playing, Console-style RPG",,Mixed or average reviews,6.0,Generally favorable reviews,6.0
56,161084,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,T,Bethesda Softworks,"Role-Playing, First-Person",,Generally favorable reviews,34.0,Generally favorable reviews,150.0
57,161683,Bandai,https://www.metacritic.com/company/bandai,E,Boom,"Role-Playing, Console-style RPG",,Generally unfavorable reviews,6.0,Generally favorable reviews,249.0
58,161180,Activision,https://www.metacritic.com/company/activision,T,From Software,"Role-Playing, Console-style RPG",,Mixed or average reviews,22.0,Generally favorable reviews,19.0
59,161154,Infogrames,https://www.metacritic.com/company/infogrames,E,Webfoot Technologies,"Role-Playing, Action RPG",,Mixed or average reviews,15.0,Mixed or average reviews,39.0
60,102860,Bethesda Softworks,https://www.metacritic.com/company/bethesda-softworks,T,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",No Online Multiplayer,Generally favorable reviews,30.0,Generally favorable reviews,1758.0
61,161340,Capcom,https://www.metacritic.com/company/capcom,E,Capcom,"Role-Playing, Console-style RPG",,Generally favorable reviews,16.0,Generally favorable reviews,34.0
62,102905,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Gas Powered Games,"Role-Playing, Action RPG, Action RPG",No Online Multiplayer,Generally favorable reviews,29.0,Generally favorable reviews,283.0
63,101885,3DO,https://www.metacritic.com/company/3do,T,3DO,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Mixed or average reviews,17.0,Generally unfavorable reviews,34.0
64,101363,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,From Software,"Role-Playing, First-Person",,Mixed or average reviews,14.0,Generally favorable reviews,29.0
65,101212,Crave,https://www.metacritic.com/company/crave,T,Irrational Games,"Role-Playing, Action RPG, Action RPG",,Universal acclaim,27.0,Generally favorable reviews,90.0
66,101839,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Game Arts,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style",,Mixed or average reviews,12.0,Generally favorable reviews,39.0
67,101967,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Electronic Arts,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",,Mixed or average reviews,5.0,Mixed or average reviews,5.0
68,101835,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Game Arts,"Role-Playing, Console-style RPG",,Mixed or average reviews,19.0,Generally favorable reviews,60.0
69,101580,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,From Software,"Role-Playing, Action RPG",,Mixed or average reviews,13.0,Generally favorable reviews,10.0
70,101589,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Racjin,"Role-Playing, PC-style RPG",,Mixed or average reviews,14.0,Generally favorable reviews,8.0
71,101718,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Genki,"Role-Playing, Console-style RPG",,Generally favorable reviews,16.0,Generally favorable reviews,27.0
72,100555,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,53.0,Generally favorable reviews,1917.0
73,161030,Capcom,https://www.metacritic.com/company/capcom,E,Capcom,"Role-Playing, Console-style RPG",,Generally favorable reviews,17.0,Mixed or average reviews,30.0
74,101494,Midway,https://www.metacritic.com/company/midway,M,Sacnoth,"Role-Playing, Console-style RPG",,Mixed or average reviews,24.0,Generally favorable reviews,108.0
75,101461,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Stormfront Studios,"Role-Playing, Action RPG",,Generally unfavorable reviews,14.0,Mixed or average reviews,9.0
76,101648,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",,Generally favorable reviews,11.0,Mixed or average reviews,6.0
77,101545,VU Games,https://www.metacritic.com/company/vu-games,T,Snowblind Studios,"Role-Playing, Action RPG",,Generally favorable reviews,29.0,Generally favorable reviews,153.0
78,101510,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Cattle Call,"Role-Playing, Console-style RPG",,Mixed or average reviews,13.0,Generally favorable reviews,7.0
79,101716,JoWooD Entertainment AG,https://www.metacritic.com/company/jowood-entertainment-ag,T,Silver Style,"Role-Playing, General, General",,Mixed or average reviews,13.0,Mixed or average reviews,8.0
80,102893,Xicat Interactive,https://www.metacritic.com/company/xicat-interactive,T,Piranha Bytes,"Role-Playing, General, General, Action RPG",No Online Multiplayer,Generally favorable reviews,14.0,Generally favorable reviews,1218.0
81,101316,Sir-Tech Software Inc.,https://www.metacritic.com/company/sir-tech-software-inc,T,Sir-Tech Software Inc.,"Role-Playing, First-Person, First-Person, General, Western-Style",No Online Multiplayer,Generally favorable reviews,20.0,Generally favorable reviews,104.0
82,160992,Nintendo,https://www.metacritic.com/company/nintendo,E,Camelot Software Planning,"Role-Playing, Console-style RPG",,Universal acclaim,29.0,Universal acclaim,327.0
83,101781,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Turbine Inc.,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",Massively Multiplayer,Generally favorable reviews,11.0,Generally favorable reviews,12.0
84,101431,Maximum Charisma,https://www.metacritic.com/company/maximum-charisma,T,Maximum Charisma,"Role-Playing, General, General",,Mixed or average reviews,6.0,No user score yet,
85,160655,Enix Corporation,https://www.metacritic.com/company/enix-corporation,T,Heart Beat,"Role-Playing, Console-style RPG",,Generally favorable reviews,15.0,Generally favorable reviews,40.0
86,161227,AIA,https://www.metacritic.com/company/aia,E,"Asmik Ace Entertainment, Inc","Role-Playing, General",,Mixed or average reviews,6.0,Mixed or average reviews,6.0
87,160974,Capcom,https://www.metacritic.com/company/capcom,E,Capcom,"Role-Playing, Action RPG",,Generally favorable reviews,10.0,Mixed or average reviews,47.0
88,101706,NCSOFT,https://www.metacritic.com/company/ncsoft,T,NCSOFT,"Role-Playing, General, Massively Multiplayer Online, Massively Multiplayer, Fantasy",,Mixed or average reviews,5.0,Generally unfavorable reviews,12.0
89,101376,Mythic Entertainment,https://www.metacritic.com/company/mythic-entertainment,T,Mythic Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Generally favorable reviews,18.0,Generally favorable reviews,71.0
90,101620,Shrapnel Games,https://www.metacritic.com/company/shrapnel-games,,Crosscut Games,"Role-Playing, General, General",,Mixed or average reviews,4.0,No user score yet,
91,101574,SCEA,https://www.metacritic.com/company/scea,T,Zener Works,"Role-Playing, Console-style RPG",,Mixed or average reviews,23.0,Generally favorable reviews,25.0
92,100821,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Stormfront Studios,"Role-Playing, PC-style RPG, Western-Style",,Mixed or average reviews,19.0,Mixed or average reviews,28.0
93,161026,Sega,https://www.metacritic.com/company/sega,T,Sonic Team,"Role-Playing, General",,Generally favorable reviews,10.0,Generally favorable reviews,26.0
94,102886,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Click Entertainment,"Role-Playing, Action RPG, Action RPG",,Mixed or average reviews,19.0,Generally favorable reviews,23.0
95,161166,Namco,https://www.metacritic.com/company/namco,T,Namco,"Role-Playing, Console-style RPG",,Generally favorable reviews,9.0,Generally favorable reviews,47.0
96,102912,Sierra Entertainment,https://www.metacritic.com/company/sierra-entertainment,M,Troika Games,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",No Online Multiplayer,Generally favorable reviews,24.0,Generally favorable reviews,383.0
97,101597,Nexon,https://www.metacritic.com/company/nexon,T,Nexon,"Role-Playing, Strategy, General, General, Massively Multiplayer",,Generally favorable reviews,10.0,Mixed or average reviews,21.0
98,101171,Red Storm Entertainment,https://www.metacritic.com/company/red-storm-entertainment,T,Ubisoft,"Role-Playing, Adventure, General, General",,Generally unfavorable reviews,7.0,Mixed or average reviews,5.0
99,163332,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Ubisoft,"Role-Playing, General",,Generally unfavorable reviews,5.0,No user score yet,
100,101242,Konami,https://www.metacritic.com/company/konami,T,KCEJ,"Role-Playing, Console-style RPG",,Generally unfavorable reviews,16.0,Mixed or average reviews,42.0
101,100460,Metro3D,https://www.metacritic.com/company/metro3d,T,Metro3D,"Role-Playing, Action RPG",,Mixed or average reviews,9.0,Mixed or average reviews,6.0
102,161059,Square EA,https://www.metacritic.com/company/square-ea,T,TOSE,"Role-Playing, Console-style RPG",,Generally favorable reviews,15.0,Generally favorable reviews,200.0
103,101278,Blizzard Entertainment,https://www.metacritic.com/company/blizzard-entertainment,M,Blizzard North,"Role-Playing, Action RPG, Action RPG",,Generally favorable reviews,21.0,Universal acclaim,1016.0
104,100326,Eidos Interactive,https://www.metacritic.com/company/eidos-interactive,T,Ion Storm,"Role-Playing, Third-Person, Third-Person, General, Japanese-Style",No Online Multiplayer,Generally favorable reviews,18.0,Generally favorable reviews,92.0
105,102851,Fun Com,https://www.metacritic.com/company/fun-com,T,Funcom,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi",Massively Multiplayer,Mixed or average reviews,11.0,Mixed or average reviews,46.0
106,101567,Interplay,https://www.metacritic.com/company/interplay,T,BioWare,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style",,Generally favorable reviews,14.0,Generally favorable reviews,338.0
107,100461,SCEA,https://www.metacritic.com/company/scea,T,Level 5,"Role-Playing, Action RPG",,Generally favorable reviews,27.0,Generally favorable reviews,150.0
108,160937,Bandai,https://www.metacritic.com/company/bandai,E,Bandai,"Role-Playing, General",,Generally unfavorable reviews,5.0,Generally favorable reviews,86.0
109,101458,3DO,https://www.metacritic.com/company/3do,E,New World Computing,"Role-Playing, PC-style RPG",,Mixed or average reviews,12.0,Mixed or average reviews,21.0
110,101443,Fishtank Interactive,https://www.metacritic.com/company/fishtank-interactive,T,Nival Interactive,"Role-Playing, General, General",,Mixed or average reviews,17.0,Generally favorable reviews,78.0
111,101398,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Electronic Arts,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Mixed or average reviews,10.0,No user score yet,
112,101224,THQ,https://www.metacritic.com/company/thq,T,Volition Inc.,"Role-Playing, Action RPG, Action RPG",No Online Multiplayer,Generally favorable reviews,14.0,Generally favorable reviews,38.0
113,160619,THQ,https://www.metacritic.com/company/thq,T,H2O Interactive,"Role-Playing, Console-style RPG",,Mixed or average reviews,7.0,Generally favorable reviews,49.0
114,101288,Interplay,https://www.metacritic.com/company/interplay,M,14 Degrees East,"Role-Playing, Action RPG, Action RPG",,Generally favorable reviews,25.0,Generally favorable reviews,256.0
115,160808,Conspiracy Entertainment,https://www.metacritic.com/company/conspiracy-entertainment,M,Neverland,"Role-Playing, Action RPG",,Generally favorable reviews,10.0,Generally favorable reviews,20.0
116,101273,Codemasters,https://www.metacritic.com/company/codemasters,M,Rebel Act Studios,"Role-Playing, Action Adventure, Fantasy, General, Fantasy, Action RPG",Up to 8 Players,Generally favorable reviews,20.0,Generally favorable reviews,157.0
117,101347,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, General, PC-style RPG, Western-Style",,Mixed or average reviews,15.0,Generally favorable reviews,68.0
118,160764,Nintendo,https://www.metacritic.com/company/nintendo,E,Intelligent Systems,"Role-Playing, Console-style RPG",,Universal acclaim,15.0,Universal acclaim,500.0
119,160724,Sega,https://www.metacritic.com/company/sega,T,Sonic Team,"Role-Playing, General",,Generally favorable reviews,21.0,Generally favorable reviews,51.0
120,160613,Take-Two Interactive,https://www.metacritic.com/company/take-two-interactive,T,Delphine Software International,"Role-Playing, Action RPG",,Mixed or average reviews,10.0,Generally favorable reviews,23.0
121,101466,Strategy First,https://www.metacritic.com/company/strategy-first,T,"1C, 1C Entertainment","Role-Playing, General, General",No Online Multiplayer,Generally unfavorable reviews,8.0,Mixed or average reviews,12.0
122,160826,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Atlus Co.,"Role-Playing, Console-style RPG",,Generally favorable reviews,11.0,Generally unfavorable reviews,252.0
123,160693,Working Designs,https://www.metacritic.com/company/working-designs,T,Game Arts,"Role-Playing, Console-style RPG",,Generally favorable reviews,12.0,Generally favorable reviews,64.0
124,160681,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Game Arts,"Role-Playing, Console-style RPG",,Universal acclaim,17.0,Generally favorable reviews,87.0
125,101281,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Generally favorable reviews,9.0,Mixed or average reviews,9.0
126,160636,Capcom,https://www.metacritic.com/company/capcom,T,Capcom,"Role-Playing, Console-style RPG",,Generally favorable reviews,10.0,Generally favorable reviews,105.0
127,160908,Enix Corporation,https://www.metacritic.com/company/enix-corporation,T,Matrix Software,"Role-Playing, Console-style RPG",,Mixed or average reviews,5.0,No user score yet,
128,160662,Sega,https://www.metacritic.com/company/sega,T,Overworks,"Role-Playing, Console-style RPG",,Universal acclaim,21.0,Generally favorable reviews,139.0
129,160668,Square EA,https://www.metacritic.com/company/square-ea,T,SquareSoft,"Role-Playing, Console-style RPG",,Universal acclaim,22.0,Universal acclaim,1479.0
130,101152,THQ,https://www.metacritic.com/company/thq,T,Volition Inc.,"Role-Playing, Action RPG",,Mixed or average reviews,16.0,Generally favorable reviews,19.0
131,100523,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,From Software,"Role-Playing, First-Person",,Mixed or average reviews,13.0,Mixed or average reviews,16.0
132,100526,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,From Software,"Role-Playing, Action RPG",,Mixed or average reviews,12.0,Mixed or average reviews,9.0
133,102926,Activision,https://www.metacritic.com/company/activision,T,Shade,"Role-Playing, Console-style RPG",,Mixed or average reviews,15.0,Mixed or average reviews,17.0
134,162368,Nintendo,https://www.metacritic.com/company/nintendo,E,Nintendo,"Role-Playing, Action RPG",,Generally favorable reviews,16.0,Generally favorable reviews,117.0
135,103214,Hip Games,https://www.metacritic.com/company/hip-games,M,Larian Studios Games,"Role-Playing, Action RPG, Action RPG",No Online Multiplayer,Mixed or average reviews,23.0,Mixed or average reviews,79.0
136,102166,NCSOFT,https://www.metacritic.com/company/ncsoft,T,NCSOFT,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",,Mixed or average reviews,37.0,Mixed or average reviews,140.0
137,101923,NCSOFT,https://www.metacritic.com/company/ncsoft,T,"Paragon Studios, Cryptic Studios","Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Modern, Modern",Massively Multiplayer,Generally favorable reviews,58.0,Generally favorable reviews,116.0
138,161876,Atlus Co.,https://www.metacritic.com/company/atlus-co,E,Grasshopper Manufacture,"Role-Playing, Action RPG",,Mixed or average reviews,18.0,Generally favorable reviews,15.0
139,103186,"Encore Software, Inc., Encore Software",https://www.metacritic.com/company/encore-software-inc,T,"Ascaron Entertainment GmbH, Ascaron Entertainment","Role-Playing, Action RPG, Action RPG",,Mixed or average reviews,37.0,Generally favorable reviews,237.0
140,100556,SCEA,https://www.metacritic.com/company/scea,T,Square Enix,"Role-Playing, Massively Multiplayer Online, Fantasy",,Generally favorable reviews,49.0,Mixed or average reviews,79.0
141,162146,Nintendo,https://www.metacritic.com/company/nintendo,E,Genius Sonority Inc.,"Role-Playing, Console-style RPG",,Mixed or average reviews,37.0,Generally favorable reviews,197.0
142,161808,Natsume,https://www.metacritic.com/company/natsume,E,Marvelous,"Role-Playing, Console-style RPG",,Generally favorable reviews,28.0,Generally favorable reviews,164.0
143,103079,Square Enix,https://www.metacritic.com/company/square-enix,M,Cavia Inc.,"Role-Playing, Action RPG",,Mixed or average reviews,55.0,Generally favorable reviews,156.0
144,103236,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Snowblind Studios,"Role-Playing, Action RPG",,Generally favorable reviews,51.0,Generally favorable reviews,88.0
145,161279,Destination Software,https://www.metacritic.com/company/destination-software,T,Magic Pockets,"Role-Playing, Action RPG",,Generally favorable reviews,17.0,Generally favorable reviews,48.0
146,103572,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,T,Sony Online Entertainment,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",,Generally favorable reviews,7.0,Mixed or average reviews,8.0
147,161990,Nintendo,https://www.metacritic.com/company/nintendo,T,Square Enix,"Role-Playing, Action RPG",,Generally favorable reviews,55.0,Generally favorable reviews,227.0
148,102989,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, Action RPG",,Generally favorable reviews,44.0,Generally favorable reviews,92.0
149,162014,Interplay,https://www.metacritic.com/company/interplay,T,Black Isle Studios,"Role-Playing, Action RPG",,Generally favorable reviews,44.0,Generally favorable reviews,21.0
150,161933,Interplay,https://www.metacritic.com/company/interplay,M,Interplay,"Role-Playing, Action RPG",,Mixed or average reviews,33.0,Mixed or average reviews,29.0
151,102808,Bandai,https://www.metacritic.com/company/bandai,T,CyberConnect2,"Role-Playing, Action RPG",,Mixed or average reviews,20.0,Generally favorable reviews,30.0
152,102837,Interplay,https://www.metacritic.com/company/interplay,M,Interplay,"Role-Playing, Action RPG",,Mixed or average reviews,31.0,Generally unfavorable reviews,60.0
